survey,species,stock,id,area,nTransects,distance,nClusters,nIndiv,biomass,biomass_ci_lower,biomass_ci_upper,biomass_sd,biomass_cv,date_start,group,year,season,source
1606RL,Sardinops sagax,Northern,56,25445.62668,54,4574.838013,13,15115.71494,80902.31945,10807.43603,142952.5148,35046.01568,43.31892573,2016-06-28T00:00:00Z,Sardinops sagax-Northern,2016,Summer,NOAA
1606RL,Sardinops sagax,Southern,59,4343.669682,8,889.9568035,3,30.72405842,323.3134447,11.30418809,663.061114,166.202862,51.40610906,2016-06-28T00:00:00Z,Sardinops sagax-Southern,2016,Summer,NOAA
1606RL,Scomber japonicus,All,66,39439.46152,79,7382.181425,22,15059.16893,32956.41268,8986.838108,62807.58834,14300.35137,43.39171107,2016-06-28T00:00:00Z,Scomber japonicus-All,2016,Summer,NOAA
1606RL,Trachurus symmetricus,All,72,44670.3471,89,8182.5054,27,22697.41609,134989.0768,70358.91598,199265.1756,33182.55953,24.58166269,2016-06-28T00:00:00Z,Trachurus symmetricus-All,2016,Summer,NOAA
1706RL,Clupea pallasii,All,77,18803.13074,40,1514.362851,9,9266.364048,63946.94397,28803.83939,104734.0427,19465.38134,30.43989303,2017-06-19T00:00:00Z,Clupea pallasii-All,2017,Summer,NOAA
1706RL,Engraulis mordax,Central,79,11349.60431,12,577.8077754,5,86142.6024,153460.2043,2109.571656,268517.6353,68186.37425,44.43261011,2017-06-19T00:00:00Z,Engraulis mordax-Central,2017,Summer,NOAA
1706RL,Engraulis mordax,Northern,82,8608.802741,41,927.9157667,7,1945.090713,22867.2105,1603.435443,58194.38658,14573.51051,63.73103755,2017-06-19T00:00:00Z,Engraulis mordax-Northern,2017,Summer,NOAA
1706RL,Sardinops sagax,Northern,87,35319.88228,64,2675.593952,19,2728.093345,14154.77821,7717.476288,23536.00266,4048.639949,28.60263784,2017-06-19T00:00:00Z,Sardinops sagax-Northern,2017,Summer,NOAA
1706RL,Scomber japonicus,All,91,31873.69808,70,2540.87473,22,6619.93257,42423.07973,19555.41688,59811.04706,10122.06732,23.85981259,2017-06-19T00:00:00Z,Scomber japonicus-All,2017,Summer,NOAA
1706RL,Trachurus symmetricus,All,95,35029.78648,74,2607.721382,26,11117.44651,129824.3184,73956.06025,179142.0823,26617.10297,20.50240147,2017-06-19T00:00:00Z,Trachurus symmetricus-All,2017,Summer,NOAA
1807RL,Clupea pallasii,All,98,23940.71153,42,2125.647948,16,18048.96145,79053.14582,33102.51655,140217.7259,28990.3146,36.67193038,2018-06-26T00:00:00Z,Clupea pallasii-All,2018,Summer,NOAA
1807RL,Engraulis mordax,Central,103,21486.7533,68,2054.859611,24,521163.186,723826.2747,533547.9668,1015782.338,124797.4481,17.24135369,2018-06-26T00:00:00Z,Engraulis mordax-Central,2018,Summer,NOAA
1807RL,Engraulis mordax,Northern,105,12620.03787,24,1271.166307,10,10582.06289,24419.36335,5366.126014,42068.28424,9250.778281,37.88296258,2018-06-26T00:00:00Z,Engraulis mordax-Northern,2018,Summer,NOAA
1807RL,Sardinops sagax,Northern,108,22702.16394,48,2306.587473,20,2525.797864,25148.08558,4480.475195,60550.57318,16725.44642,66.50783165,2018-06-26T00:00:00Z,Sardinops sagax-Northern,2018,Summer,NOAA
1807RL,Sardinops sagax,Southern,110,9016.639749,15,917.8725702,9,6270.473736,33093.47893,8957.335074,65417.26254,14516.17787,43.864164,2018-06-26T00:00:00Z,Sardinops sagax-Southern,2018,Summer,NOAA
1807RL,Scomber japonicus,All,115,29870.76176,60,3018.358531,22,3385.529108,31211.14535,18308.77178,45106.11556,6720.201049,21.53141442,2018-06-26T00:00:00Z,Scomber japonicus-All,2018,Summer,NOAA
1807RL,Trachurus symmetricus,All,121,44880.42693,85,4284.665227,38,25196.30641,202470.5732,128718.0116,260175.2609,33871.61856,16.72915625,2018-06-26T00:00:00Z,Trachurus symmetricus-All,2018,Summer,NOAA
1907RL,Clupea pallasii,All,308,24625.44879,100,2176.025918,36,41340.1455,269988.5139,126305.8708,479736.4288,92426.94482,34.23365812,2019-06-13T00:00:00Z,Clupea pallasii-All,2019,Summer,NOAA
1907RL,Engraulis mordax,Central,315,26799.82407,123,2850.701943,42,2401863.429,810633.8656,587316.915,1066264.62,115148.0488,14.20469261,2019-06-13T00:00:00Z,Engraulis mordax-Central,2019,Summer,NOAA
1907RL,Engraulis mordax,Northern,321,11770.68273,44,1203.779697,11,1512.402047,1811.227619,374.1508817,3909.113432,750.9276445,41.45959551,2019-06-13T00:00:00Z,Engraulis mordax-Northern,2019,Summer,NOAA
1907RL,Sardinops sagax,Northern,333,28962.41213,114,2962.149028,38,6579.23233,33631.61794,21957.39778,46870.21117,6408.336193,19.05449867,2019-06-13T00:00:00Z,Sardinops sagax-Northern,2019,Summer,NOAA
1907RL,Sardinops sagax,Southern,339,13234.23321,69,1463.174946,18,7775.687484,14889.92915,3487.828543,30022.3794,4934.115579,33.13726699,2019-06-13T00:00:00Z,Sardinops sagax-Southern,2019,Summer,NOAA
1907RL,Scomber japonicus,All,351,32232.93308,132,3384.989201,38,2979.558545,26576.69786,12782.69987,38848.62848,6039.344199,22.72420837,2019-06-13T00:00:00Z,Scomber japonicus-All,2019,Summer,NOAA
1907RL,Trachurus symmetricus,All,364,39263.15691,164,4100.593953,52,20072.67784,391993.3375,233792.6333,536870.4344,80693.81703,20.58550728,2019-06-13T00:00:00Z,Trachurus symmetricus-All,2019,Summer,NOAA
1906JCF,Engraulis mordax,Central,,,,,,,885914,761886.04,1030317.982,,,2019-06-13T00:00:00Z,Engraulis mordax-Central,2019,Summer,INAPESCA
1906JCF,Sardinops sagax,Southern,,,,,,,145502.4475,136260.5651,154744.3299,,,2019-06-13T00:00:00Z,Sardinops sagax-Southern,2019,Summer,INAPESCA
2009JCF,Engraulis mordax,Central,,,,,,,1131521.78,"775,729",1487315,,,2019-06-13T00:00:00Z,Engraulis mordax-Central,2019,Summer,INAPESCA
2009JCF,Sardinops sagax,Southern,,,,,,,"133,846.98","124,618","143,076",,,2019-06-13T00:00:00Z,Sardinops sagax-Southern,2019,Summer,INAPESCA
2009JCF,Scomber japonicus,All,,,,,,,"23,321.59","17,952","28,691",,,2019-06-13T00:00:00Z,Scomber japonicus-All,2019,Summer,INAPESCA
2009JCF,Trachurus symmetricus,All,,,,,,,16457.63,1663,32753,,,2019-06-13T00:00:00Z,Trachurus symmetricus-All,2019,Summer,INAPESCA
2107RL,Clupea pallasii,All,NA,21818.14267,129,2262.958963,30,6945.069581,67920.27845,14913.0808,134878.9282,26911.30126,39.62189478,2021-07-05T00:00:00Z,Clupea pallasii-All,2021,Summer,NOAA
2107RL,Engraulis mordax,Central,NA,41785.61796,207,4100.431965,68,1143664.587,2721688.524,1218458.675,3353288.515,529650.7893,19.46037486,2021-07-05T00:00:00Z,Engraulis mordax-Central,2021,Summer,NOAA
2107RL,Engraulis mordax,Northern,NA,12112.12374,41,1244.276458,7,1617.680694,8030.585256,1624.377322,15893.14997,2691.115141,33.51082212,2021-07-05T00:00:00Z,Engraulis mordax-Northern,2021,Summer,NOAA
2107RL,Etrumeus acuminatus,All,NA,14289.40064,26,1294.168467,13,721.8628352,18848.15922,5071.011795,32420.6312,7457.611881,39.56679161,2021-07-05T00:00:00Z,Etrumeus acuminatus-All,2021,Summer,NOAA
2107RL,Sardinops sagax,Northern,NA,16283.36722,59,1601.835853,12,1042.549437,47721.39585,14016.22325,90474.67739,19811.72802,41.51539926,2021-07-05T00:00:00Z,Sardinops sagax-Northern,2021,Summer,NOAA
2107RL,Sardinops sagax,Southern,NA,39646.01718,168,3697.62419,56,110849.4168,196609.161,60236.60397,346360.117,68334.43567,34.75648607,2021-07-05T00:00:00Z,Sardinops sagax-Southern,2021,Summer,NOAA
2107RL,Scomber japonicus,All,NA,41932.24578,142,3809.989201,49,2671.640606,21997.74674,15366.86274,34299.96458,4352.264929,19.78504881,2021-07-05T00:00:00Z,Scomber japonicus-All,2021,Summer,NOAA
2107RL,Trachurus symmetricus,All,NA,69134.3176,261,6680.669546,66,14037.54737,569792.7747,310938.978,941151.0752,159934.8072,28.06894266,2021-07-05T00:00:00Z,Trachurus symmetricus-All,2021,Summer,NOAA
2110JCF,Engraulis mordax,Central,,,,,,,893921.884,465405.4488,1322438.319,,,2021-07-05T00:00:00Z,Engraulis mordax-Central,2021,Summer,INAPESCA
2110JCF,Sardinops sagax,Southern,,,,,,,80664.03812,46280.26739,115047.8089,,,2021-07-05T00:00:00Z,Sardinops sagax-Southern,2021,Summer,INAPESCA
2110JCF,Scomber japonicus,All,,,,,,,6557.65,2594,10521,,,2021-07-05T00:00:00Z,Scomber japonicus-All,2021,Summer,INAPESCA
2207RL,Clupea pallasii,All,NA,12477.89012,36,1152.969762,9,1411,50718.11843,14460.57839,99700.46255,20704.27685,40.8222495,2022-06-27T00:00:00Z,Clupea pallasii-All,2022,Summer,NOAA
2207RL,Engraulis mordax,Central,NA,32016.96512,124,2059.989201,47,668228.9857,2235995.934,1248956.158,3051862.671,452245.3577,20.22567889,2022-06-27T00:00:00Z,Engraulis mordax-Central,2022,Summer,NOAA
2207RL,Engraulis mordax,Northern,NA,9887.177471,23,1014.146868,4,17,16432.40046,5645.621258,27680.2721,5662.810148,34.46124722,2022-06-27T00:00:00Z,Engraulis mordax-Northern,2022,Summer,NOAA
2207RL,Sardinops sagax,Northern,NA,27078.36595,90,2716.036717,32,2130.406534,69505.93086,30484.01589,99021.26378,14528.21899,20.90212851,2022-06-27T00:00:00Z,Sardinops sagax-Northern,2022,Summer,NOAA
2207RL,Sardinops sagax,Southern,NA,21110.94484,106,1241.414687,50,9549.218416,107468.2188,47994.46675,178947.2364,24783.13594,23.06089765,2022-06-27T00:00:00Z,Sardinops sagax-Southern,2022,Summer,NOAA
2207RL,Scomber japonicus,All,NA,23950.44433,91,1470.086393,35,609.7074593,7967.92992,3741.296508,12661.8142,1761.650225,22.10925853,2022-06-27T00:00:00Z,Scomber japonicus-All,2022,Summer,NOAA
2207RL,Trachurus symmetricus,All,NA,52664.07792,165,4206.803456,53,2403.918336,807090.4574,515559.512,1145812.368,159074.3685,19.70960839,2022-06-27T00:00:00Z,Trachurus symmetricus-All,2022,Summer,NOAA
2207JCF,Engraulis mordax,Central,,,,,,,347145.813,158259.0969,536032.5292,,,2022-06-27T00:00:00Z,Engraulis mordax-Central,2022,Summer,INAPESCA
2207JCF,Sardinops sagax,Southern,,,,,,,"96,138.65",46033.70955,146243.5913,,,2022-06-27T00:00:00Z,Sardinops sagax-Southern,2022,Summer,INAPESCA
2207JCF,Scomber japonicus,All,,,,,,,44742.98677,21249.7457,68236.22784,,,2022-06-27T00:00:00Z,Scomber japonicus-All,2022,Summer,INAPESCA
2207JCF,Trachurus symmetricus,All,,,,,,,16890.39155,6893.820393,26886.9627,,,2022-06-27T00:00:00Z,Trachurus symmetricus-All,2022,Summer,INAPESCA
2207JCF,Etrumeus acuminatus,All,,,,,,,4648.832808,3479.54742,5818.118197,,,2022-06-27T00:00:00Z,Etrumeus acuminatus-All,2022,Summer,INAPESCA
2307RL,Clupea pallasii,All,NA,14587.68989,47,831.9654428,21,10654.82916,84964.66131,42214.75081,156386.9012,22990.89529,27.05936202,2023-07-03T00:00:00Z,Clupea pallasii-All,2023,Summer,NOAA
2307RL,Engraulis mordax,Central,NA,30988.93721,99,1938.336933,35,200008.2133,2608829.014,312652.9803,4957226.825,1243055.334,47.64801861,2023-07-03T00:00:00Z,Engraulis mordax-Central,2023,Summer,NOAA
2307RL,Engraulis mordax,Northern,NA,12469.13534,18,640.9287257,8,10371.62016,11343.18989,490.5492644,30264.76505,8205.681431,72.34015747,2023-07-03T00:00:00Z,Engraulis mordax-Northern,2023,Summer,NOAA
2307RL,Sardinops sagax,Northern,NA,14003.57502,30,755.4535637,17,1714.090594,77252.49163,17855.80881,171828.6994,36039.04228,46.65097723,2023-07-03T00:00:00Z,Sardinops sagax-Northern,2023,Summer,NOAA
2307RL,Sardinops sagax,Southern,NA,21087.28559,137,1513.012959,53,1992.997815,96045.08402,54648.41772,150025.7047,20367.63703,21.20632954,2023-07-03T00:00:00Z,Sardinops sagax-Southern,2023,Summer,NOAA
2307RL,Scomber japonicus,All,NA,10061.06905,77,747.8941685,25,528.2727273,34856.66059,4357.488761,86885.7251,24275.8506,69.64479726,2023-07-03T00:00:00Z,Scomber japonicus-All,2023,Summer,NOAA
2307RL,Trachurus symmetricus,All,NA,41782.53642,82,2320.356371,38,861.5459295,158409.2335,50492.00121,270261.7981,43599.56477,27.52337336,2023-07-03T00:00:00Z,Trachurus symmetricus-All,2023,Summer,NOAA
2306JCF,Engraulis mordax,Central,,,,,,,565392.2303,188987,914347,,,2023-07-03T00:00:00Z,Engraulis mordax-Central,2023,Summer,INAPESCA
2306JCF,Sardinops sagax,Southern,,,,,,,946853,642272,1251434,,,2023-07-03T00:00:00Z,Sardinops sagax-Southern,2023,Summer,INAPESCA
2306JCF,Scomber japonicus,All,,,,,,,240774.12,128284,353264,,,2023-07-03T00:00:00Z,Scomber japonicus-All,2023,Summer,INAPESCA
2306JCF,Etrumeus acuminatus,All,,,,,,,14099.25,7163,21035,,,2023-07-03T00:00:00Z,Etrumeus acuminatus-All,2023,Summer,INAPESCA
